runNo,evtNo,nJets,nLeptons,nBJets,category,mva,jetPt,jetEta,jetPhi,jetMass,jetMassSoftDrop,jetTau1,jetTau2,jetTau3,triggerBit
274157,427397984,2,0,0,0,0.0759885,[ 308.19793701  306.90899658],[-0.99290204  1.01546764],[-1.33313119  1.8480767 ],[ 84.52386475  77.79433441],[ 61.69350815  64.89129639],[ 0.24508816  0.1714801 ],[ 0.17288283  0.10583759],[ 0.12972634  0.09433219],[False  True False False False False False False False False]
274157,428438861,2,0,0,0,0.53263,[ 499.49591064  427.71444702],[-0.78723627  1.59990895],[-0.1542232   2.89596176],[ 222.60783386  143.03198242],[ 212.0090332   136.42121887],[ 0.49567613  0.32119387],[ 0.18657327  0.09281991],[ 0.14198197  0.08030945],[ True False False False False False False False False False]
274157,429311517,2,0,0,0,0.492618,[ 395.78683472  334.46542358],[ 0.44547132  0.97259325],[-0.94078779  2.60179162],[ 124.97846222  138.44909668],[ 120.63471222  132.01173401],[ 0.27310488  0.45046276],[ 0.16953114  0.1471543 ],[ 0.11119042  0.10941198],[False  True  True False False False False False False False]
274157,429439582,2,0,0,0,0.348619,[ 341.7053833   239.57087708],[ 0.41306874  0.92908597],[ 1.90341628  0.61627227],[ 114.18035889   69.24891663],[ 109.15794373   65.25115204],[ 0.26362714  0.23138034],[ 0.0681946   0.14657363],[ 0.05755384  0.11276683],[False  True  True  True False False False False False False]
274157,429636238,2,0,0,0,0.214494,[ 533.67419434  356.75924683],[-0.25178757  0.63875192],[-2.55234146  0.38924986],[  98.36001587  123.81867218],[  50.82546616  119.93877411],[ 0.15743604  0.24573921],[ 0.08187598  0.1113999 ],[ 0.07560236  0.08995043],[ True  True  True False False False False False False False]
274157,429780668,2,0,0,0,0.23473,[ 322.38253784  273.77252197],[-0.13764927 -1.89547038],[ 1.78476417 -1.46521115],[ 82.28292084  72.13884735],[ 63.68663788  63.14318085],[ 0.23331617  0.18528771],[ 0.11268441  0.07795247],[ 0.1020475   0.06965114],[False  True False False False False False False False False]
274157,430032128,2,0,0,0,0.432667,[ 502.46670532  471.82394409],[ 0.70610452  0.3492755 ],[-0.48288241  2.69115376],[ 103.69688416  135.07092285],[  71.37050629  115.07837677],[ 0.13830593  0.30564129],[ 0.0829137   0.11457461],[ 0.0635514   0.08097968],[ True  True  True False False False False False False False]
274157,428775697,2,0,0,0,0.0783765,[ 349.34460449  322.54196167],[-1.52935815  0.12128987],[ 1.83318436 -1.62090397],[ 110.71875763   91.94248962],[ 103.23366547   77.0770874 ],[ 0.22849907  0.20685714],[ 0.13920753  0.17494099],[ 0.10116024  0.12700437],[False  True  True False False False False False False False]
274157,429974836,2,0,0,0,0.516252,[ 473.31246948  383.08166504],[ 1.03294277 -0.58467507],[-0.45720071  2.6743145 ],[ 110.45745087  111.24865723],[ 100.82736969  108.28314209],[ 0.18075712  0.15688325],[ 0.06847934  0.0668202 ],[ 0.05352557  0.05106967],[ True False False False False False False False False False]
274157,429616949,2,2,0,0,0.675054,[ 418.31781006  203.71920776],[ 1.66652381 -0.60595065],[-2.0095613   2.44961452],[ 92.84117889  97.97211456],[ 50.71519089  96.83052063],[ 0.17793795  0.43589637],[ 0.13479081  0.31329301],[ 0.09437456  0.17411457],[False  True  True False False False False False False False]
274157,429343473,2,0,1,1,0.504134,[ 557.51715088  535.0814209 ],[ 2.30745792  0.59022945],[ 0.57513386 -2.65571737],[ 160.90461731  179.7766571 ],[ 128.88473511  147.98327637],[ 0.32074416  0.27916771],[ 0.0952834   0.14852531],[ 0.07345198  0.11042447],[ True  True  True False False False False False False False]
274157,429748269,2,0,0,0,0.650316,[ 552.60675049  536.62915039],[-0.4598442   1.22889018],[ 1.62134075 -1.39791703],[ 235.4616394   159.33378601],[ 230.07685852  113.90419769],[ 0.40433872  0.25307643],[ 0.14606808  0.15966232],[ 0.0904486   0.10058677],[ True  True  True False False False False False False False]
274157,429333879,2,0,0,0,0.22825,[ 491.32577515  218.02836609],[-1.38633525  1.69691312],[ 2.84949565 -0.83101922],[ 119.23009491   94.70095825],[ 68.65925598  85.40625   ],[ 0.21195807  0.45506722],[ 0.13998693  0.15941775],[ 0.1119829   0.13599266],[ True  True  True False False False False False False False]
274157,429511671,2,0,0,0,0.722043,[ 397.15869141  391.16067505],[ 1.86096966  0.64052284],[-1.37724113  1.71637452],[ 111.63014221  148.87730408],[  58.95759964  141.19374084],[ 0.26977634  0.3992106 ],[ 0.13085438  0.19234872],[ 0.10557862  0.110645  ],[False  True  True False False False False False False False]
274157,429828641,2,0,0,0,0.197495,[ 530.09924316  202.51799011],[ 0.84212822  1.62603152],[-2.75140715  0.56158304],[ 140.06018066   64.55213165],[ 122.09445953   55.25887299],[ 0.16056564  0.27153283],[ 0.07222843  0.2200564 ],[ 0.06790029  0.13406663],[ True  True  True False False False False False False False]
274157,429223332,2,0,0,0,0.0733329,[ 374.29272461  309.57632446],[-0.10410593  0.690988  ],[ 1.07218266 -1.84003448],[ 101.0318985    83.99871063],[ 80.38181305  50.58436966],[ 0.23085672  0.18338424],[ 0.13097362  0.13010696],[ 0.10936565  0.09305827],[False  True False False False False False False False False]
274157,430550633,2,0,0,0,0.357094,[ 330.21289062  291.36196899],[-1.40146208 -0.72156543],[ 0.97341764 -1.52527964],[  98.3065567  122.9083786],[  87.17679596  119.56201172],[ 0.26081759  0.3470754 ],[ 0.13882686  0.13866776],[ 0.1150248   0.10558744],[False  True False False False False False False False False]
274157,428971526,2,0,1,1,0.579607,[ 392.86129761  363.40710449],[ 1.10825646  2.28622103],[ 0.20835616 -2.92892957],[ 96.02031708  98.60139465],[ 82.63887024  80.34506989],[ 0.19595289  0.28034902],[ 0.12256029  0.13811272],[ 0.08168828  0.08783028],[False  True  True False False False False False False False]
274157,430199691,2,0,0,0,0.360083,[ 341.14575195  322.89553833],[-0.38064972 -1.2669698 ],[ 2.66710711 -0.77673322],[  86.59740448  101.8105545 ],[ 61.86314774  90.795784  ],[ 0.22212826  0.25089526],[ 0.10088863  0.10521839],[ 0.0803017   0.08984476],[False  True  True False False False False False False False]
274157,429483418,2,0,0,0,0.0782608,[ 422.80532837  338.40560913],[-0.99104708  0.16836001],[ 0.28870273 -2.45446658],[ 81.44963837  79.76793671],[ 58.60395432  68.29022217],[ 0.1882503   0.17607328],[ 0.08697028  0.11889271],[ 0.07315239  0.10566   ],[ True False False False False False False False False False]
274157,428880959,2,0,1,0,0.235156,[ 385.04919434  330.46731567],[-1.62463188 -1.1716814 ],[ 2.12973595 -0.79615593],[ 97.13334656  98.84631348],[ 87.80711365  91.31813049],[ 0.16293944  0.2308263 ],[ 0.08258361  0.11492877],[ 0.06979037  0.08967595],[False  True  True False False False False False False False]
274157,429707084,2,0,0,0,0.161175,[ 308.41943359  289.06549072],[ 1.08973181 -0.60752958],[-1.76112497  1.56149828],[ 98.08867645  69.56828308],[ 64.53820038  50.59812927],[ 0.3010132  0.2033989],[ 0.17592788  0.10420836],[ 0.14690581  0.09301919],[False  True False False False False False False False False]
274157,428828778,2,0,0,0,0.292218,[ 344.3536377   282.84838867],[-0.22018516 -1.10588062],[-3.03586268 -0.33206481],[ 164.46331787  113.05762482],[ 166.84432983  108.7204895 ],[ 0.52176642  0.44822443],[ 0.19056174  0.16181001],[ 0.14062969  0.14481029],[False  True False False False False False False False False]
274157,429000823,2,0,0,0,0.537861,[ 383.23046875  379.39855957],[-1.42353487 -0.93011045],[-1.46811402  1.64862323],[ 110.06293488  116.85056305],[  81.36194611  103.67891693],[ 0.24436793  0.29562962],[ 0.12751655  0.10331658],[ 0.09261812  0.07972271],[False  True  True False False False False False False False]
